"filename", "language", "TOML", "Rust", "JSON", "JavaScript", "HTML", "Markdown", "comment", "blank", "total"
"e:\dev\Rust\project\tlc\README.md", "Markdown", 0, 0, 0, 0, 0, 37, 0, 32, 69
"e:\dev\Rust\project\tlc\package.json", "JSON", 0, 0, 35, 0, 0, 0, 0, 0, 35
"e:\dev\Rust\project\tlc\public\index.html", "HTML", 0, 0, 0, 0, 10, 0, 0, 3, 13
"e:\dev\Rust\project\tlc\src-tauri\Cargo.lock", "TOML", 2314, 0, 0, 0, 0, 0, 2, 274, 2590
"e:\dev\Rust\project\tlc\src-tauri\Cargo.toml", "TOML", 37, 0, 0, 0, 0, 0, 0, 6, 43
"e:\dev\Rust\project\tlc\src-tauri\cache\default_config.json", "JSON", 0, 0, 85, 0, 0, 0, 0, 0, 85
"e:\dev\Rust\project\tlc\src-tauri\src\build.rs", "Rust", 0, 15, 0, 0, 0, 0, 0, 3, 18
"e:\dev\Rust\project\tlc\src-tauri\src\cal\colormap.rs", "Rust", 0, 258, 0, 0, 0, 0, 1, 2, 261
"e:\dev\Rust\project\tlc\src-tauri\src\cal\error.rs", "Rust", 0, 45, 0, 0, 0, 0, 7, 17, 69
"e:\dev\Rust\project\tlc\src-tauri\src\cal\io.rs", "Rust", 0, 440, 0, 0, 0, 0, 10, 88, 538
"e:\dev\Rust\project\tlc\src-tauri\src\cal\mod.rs", "Rust", 0, 244, 0, 0, 0, 0, 54, 73, 371
"e:\dev\Rust\project\tlc\src-tauri\src\cal\postprocess.rs", "Rust", 0, 80, 0, 0, 0, 0, 0, 13, 93
"e:\dev\Rust\project\tlc\src-tauri\src\cal\preprocess.rs", "Rust", 0, 346, 0, 0, 0, 0, 3, 51, 400
"e:\dev\Rust\project\tlc\src-tauri\src\cal\solve.rs", "Rust", 0, 200, 0, 0, 0, 0, 9, 36, 245
"e:\dev\Rust\project\tlc\src-tauri\src\lib.rs", "Rust", 0, 3, 0, 0, 0, 0, 0, 2, 5
"e:\dev\Rust\project\tlc\src-tauri\src\main.rs", "Rust", 0, 18, 0, 0, 0, 0, 0, 6, 24
"e:\dev\Rust\project\tlc\src-tauri\src\view\batch.rs", "Rust", 0, 11, 0, 0, 0, 0, 1, 4, 16
"e:\dev\Rust\project\tlc\src-tauri\src\view\cmd.rs", "Rust", 0, 144, 0, 0, 0, 0, 0, 3, 147
"e:\dev\Rust\project\tlc\src-tauri\src\view\handle.rs", "Rust", 0, 313, 0, 0, 0, 0, 1, 57, 371
"e:\dev\Rust\project\tlc\src-tauri\src\view\mod.rs", "Rust", 0, 3, 0, 0, 0, 0, 0, 1, 4
"e:\dev\Rust\project\tlc\src-tauri\tauri.conf.json", "JSON", 0, 0, 46, 0, 0, 0, 0, 0, 46
"e:\dev\Rust\project\tlc\src-tauri\tests\cal.rs", "Rust", 0, 77, 0, 0, 0, 0, 0, 26, 103
"e:\dev\Rust\project\tlc\src\App.js", "JavaScript", 0, 0, 0, 47, 0, 0, 0, 6, 53
"e:\dev\Rust\project\tlc\src\components\Alert.js", "JavaScript", 0, 0, 0, 21, 0, 0, 0, 4, 25
"e:\dev\Rust\project\tlc\src\components\Button.js", "JavaScript", 0, 0, 0, 18, 0, 0, 0, 3, 21
"e:\dev\Rust\project\tlc\src\components\Canvas.js", "JavaScript", 0, 0, 0, 10, 0, 0, 0, 4, 14
"e:\dev\Rust\project\tlc\src\components\IconButton.js", "JavaScript", 0, 0, 0, 13, 0, 0, 0, 3, 16
"e:\dev\Rust\project\tlc\src\components\Input.js", "JavaScript", 0, 0, 0, 65, 0, 0, 0, 4, 69
"e:\dev\Rust\project\tlc\src\components\Regulator.js", "JavaScript", 0, 0, 0, 63, 0, 0, 0, 5, 68
"e:\dev\Rust\project\tlc\src\components\SelectFilter.js", "JavaScript", 0, 0, 0, 47, 0, 0, 0, 4, 51
"e:\dev\Rust\project\tlc\src\components\SelectInterp.js", "JavaScript", 0, 0, 0, 72, 0, 0, 0, 4, 76
"e:\dev\Rust\project\tlc\src\components\SelectIteration.js", "JavaScript", 0, 0, 0, 56, 0, 0, 0, 5, 61
"e:\dev\Rust\project\tlc\src\index.js", "JavaScript", 0, 0, 0, 9, 0, 0, 0, 2, 11
"e:\dev\Rust\project\tlc\src\pages\BasicSettings.js", "JavaScript", 0, 0, 0, 235, 0, 0, 5, 17, 257
"e:\dev\Rust\project\tlc\src\pages\SolveSettings.js", "JavaScript", 0, 0, 0, 130, 0, 0, 0, 14, 144
"Total", "-", 2351, 2197, 166, 786, 10, 37, 93, 772, 6412
